B.E.,Counts/sec,B.E. 2,Counts/s,B.E 3,Counts/sec,B.E. 4,Counts/sec,B.E. 5,Counts/sec
206.88,14994.27,206.618,9022.333,206.038,3840.387,206.773,12496.87,206.843,14206.4
206.78,12128.93,206.518,7338.467,205.938,3566.513,206.673,9958.933,206.743,11272.13
206.68,10079.6,206.418,6207.027,205.838,3768.14,206.573,8186.733,206.643,8910.6
206.58,8046.333,206.318,5250.967,205.738,3671.867,206.473,6486.067,206.543,7371.467
206.48,6476.453,206.218,4735.673,205.638,3508.72,206.373,5656.587,206.443,5966.513
206.38,5390.453,206.118,4427.693,205.538,3862.933,206.273,4609.82,206.343,5366.94
206.28,5158.207,206.018,4304.313,205.438,4233.013,206.173,4326.013,206.243,4721.013
206.18,4576.393,205.918,3936.173,205.338,4089.073,206.073,4211.427,206.143,4468.773
206.08,4380.64,205.818,3722.16,205.238,4336.52,205.973,3826.773,206.043,4376.46
205.98,4343.133,205.718,4033.113,205.138,4604.76,205.873,3928.42,205.943,4086.68
205.88,4094.873,205.618,4050.747,205.038,4372.38,205.773,3905.093,205.843,3945.46
205.78,3974.373,205.518,4061.907,204.938,4162.607,205.673,3996.853,205.743,4227.287
205.68,4346.24,205.418,4117.713,204.838,4253.953,205.573,3985.32,205.643,4190.813
205.58,4072.44,205.318,4469.293,204.738,3738.68,205.473,4431.927,205.543,4029.327
205.48,4207.653,205.218,4821.013,204.638,3393.02,205.373,4391.187,205.443,4421.747
205.38,4567.507,205.118,4824.24,204.538,2844.507,205.273,4749.38,205.343,4422.34
205.28,4734.693,205.018,4952.333,204.438,2522.513,205.173,5022.68,205.243,4657.453
205.18,4865.113,204.918,4838.44,204.338,2238.487,205.073,5224.52,205.143,4909.573
205.08,5387.027,204.818,4437.447,204.238,2215.067,204.973,4975.82,205.043,4976.687
204.98,5209.02,204.718,4256.973,204.138,2208.713,204.873,5020.447,204.943,4901.947
204.88,4875.067,204.618,3618.053,204.038,2343.573,204.773,4465.007,204.843,4798.253
204.78,4418.113,204.518,3104.933,203.938,2255.493,204.673,3901.92,204.743,4258.467
204.68,4043.46,204.418,2845.287,203.838,2288.573,204.573,3393.12,204.643,3844.033
204.58,3538.68,204.318,2577.913,203.738,2015.46,204.473,2782.287,204.543,3429.053
204.48,3005.627,204.218,2413.993,203.638,2263.893,204.373,2690.073,204.443,2839.247
204.38,2623.587,204.118,2374.94,203.538,2144.46,204.273,2486.867,204.343,2606.42
204.28,2363.66,204.018,2259.067,203.438,2159.247,204.173,2407.773,204.243,2601.5
204.18,2474.24,203.918,2364.02,203.338,2216.633,204.073,2340.573,204.143,2554.24
204.08,2490.98,203.818,2300.947,203.238,2298.44,203.973,2590.387,204.043,2319.967
203.98,2432.973,203.718,2382.02,203.138,2522.433,203.873,2387.793,203.943,2258.12
203.88,2228.473,203.618,2343.1,203.038,2806.267,203.773,2182.64,203.843,2180.087
